Group,Organization,Model,Name,Metadata,Catalog,NCML,FTP,Contact,EMAIL,Summary
inundation_tropical,University of Notre Dame,SLOSH,Hurricane_Ike_preliminary_run_4_egm3_without_tides,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Ike_preliminary_run_4_egm3_without_tides/Model_Metadata_Ike.egm3.OWI.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_SLOSH/Hurricane_Ike_preliminary_run_4_egm3_without_tides/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_SLOSH.Hurricane_Ike_preliminary_run_4_egm3_without_tides,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Ike_preliminary_run_4_egm3_without_tides/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Ike_preliminary_run_4_egm3_without_tides/,A hindcast of Hurricane Ike (2008) using SLOSH on the egm3 mesh with data-assimilated winds.
inundation_tropical,University of Notre Dame,SLOSH,Hurricane_Ike_preliminary_run_5_egm3_with_SLOSH_winds,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Ike_preliminary_run_5_egm3_with_SLOSH_winds/Model_Metadata_Ike.egm3.SWI.tidal.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_SLOSH/Hurricane_Ike_preliminary_run_5_egm3_with_SLOSH_winds/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_SLOSH.Hurricane_Ike_preliminary_run_5_egm3_with_SLOSH_winds,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Ike_preliminary_run_5_egm3_with_SLOSH_winds/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Ike_preliminary_run_5_egm3_with_SLOSH_winds/,A hindcast of Hurricane Ike (2008) using SLOSH on the egm3 mesh with SLOSH internal winds and superimposed tides.
inundation_tropical,University of Notre Dame,SLOSH,Hurricane_Ike_preliminary_run_6_egm3_with_SLOSH_winds_without_tides,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Ike_preliminary_run_6_egm3_with_SLOSH_winds_without_tides/Model_Metadata_Ike.egm3.SWI.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_SLOSH/Hurricane_Ike_preliminary_run_6_egm3_with_SLOSH_winds_without_tides/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_SLOSH.Hurricane_Ike_preliminary_run_6_egm3_with_SLOSH_winds_without_tides,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Ike_preliminary_run_6_egm3_with_SLOSH_winds_without_tides/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Ike_preliminary_run_6_egm3_with_SLOSH_winds_without_tides/,A hindcast of Hurricane Ike (2008) using SLOSH on the egm3 mesh with SLOSH internal winds.
inundation_tropical,University of Notre Dame,SLOSH,Hurricane_Rita_final_run_ebp3,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_final_run_ebp3/Model_Metadata_Rita.ebp3.OWI.tidal.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_SLOSH/Hurricane_Rita_final_run_ebp3/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_SLOSH.Hurricane_Rita_final_run_ebp3,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_final_run_ebp3/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_final_run_ebp3/,A hindcast of Hurricane Rita (2005) using SLOSH on the ebp3 mesh with data-assimilated winds and superimposement of tidal signals.
inundation_tropical,University of Notre Dame,SLOSH,Hurricane_Rita_final_run_egm3,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_final_run_egm3/Model_Metadata_Rita.egm3.OWI.tidal.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_SLOSH/Hurricane_Rita_final_run_egm3/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_SLOSH.Hurricane_Rita_final_run_egm3,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_final_run_egm3/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_final_run_egm3/,A hindcast of Hurricane Rita (2005) using SLOSH on the egm3 mesh with data-assimilated winds and superimposement of tidal signals.
inundation_tropical,University of Notre Dame,SLOSH,Hurricane_Rita_preliminary_run_1_ebp3_without_tides,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_1_ebp3_without_tides/Model_Metadata_Rita.ebp3.OWI.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_1_ebp3_without_tides/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_SLOSH.Hurricane_Rita_preliminary_run_1_ebp3_without_tides,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_1_ebp3_without_tides/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_1_ebp3_without_tides/,A hindcast of Hurricane Rita (2005) using SLOSH on the ebp3 mesh with data-assimilated winds.
inundation_tropical,University of Notre Dame,SLOSH,Hurricane_Rita_preliminary_run_2_ebp3_with_SLOSH_winds,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_2_ebp3_with_SLOSH_winds/Model_Metadata_Rita.ebp3.SWI.tidal.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_2_ebp3_with_SLOSH_winds/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_SLOSH.Hurricane_Rita_preliminary_run_2_ebp3_with_SLOSH_winds,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_2_ebp3_with_SLOSH_winds/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_2_ebp3_with_SLOSH_winds/,A hindcast of Hurricane Rita (2005) using SLOSH on the ebp3 mesh with SLOSH internal winds and superimposed tides.
inundation_tropical,University of Notre Dame,SLOSH,Hurricane_Rita_preliminary_run_3_ebp3_with_SLOSH_winds_without_tides,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_3_ebp3_with_SLOSH_winds_without_tides/Model_Metadata_Rita.ebp3.SWI.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_3_ebp3_with_SLOSH_winds_without_tides/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_SLOSH.Hurricane_Rita_preliminary_run_3_ebp3_with_SLOSH_winds_without_tides,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_3_ebp3_with_SLOSH_winds_without_tides/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_3_ebp3_with_SLOSH_winds_without_tides/,A hindcast of Hurricane Rita (2005) using SLOSH on the ebp3 mesh with SLOSH internal winds.
inundation_tropical,University of Notre Dame,SLOSH,Hurricane_Rita_preliminary_run_4_egm3_without_tides,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_4_egm3_without_tides/Model_Metadata_Rita.egm3.OWI.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_4_egm3_without_tides/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_SLOSH.Hurricane_Rita_preliminary_run_4_egm3_without_tides,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_4_egm3_without_tides/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_4_egm3_without_tides/,A hindcast of Hurricane Rita (2005) using SLOSH on the egm3 mesh with data-assimilated winds.
inundation_tropical,University of Notre Dame,SLOSH,Hurricane_Rita_preliminary_run_5_egm3_with_SLOSH_winds,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_5_egm3_with_SLOSH_winds/Model_Metadata_Rita.egm3.SWI.tidal.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_5_egm3_with_SLOSH_winds/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_SLOSH.Hurricane_Rita_preliminary_run_5_egm3_with_SLOSH_winds,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_5_egm3_with_SLOSH_winds/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_SLOSH/Hurricane_Rita_preliminary_run_5_egm3_with_SLOSH_winds/,A hindcast of Hurricane Rita (2005) using SLOSH on the egm3 mesh with SLOSH internal winds and superimposed tides.
